site,url,code,title,text,images,date,author
ria.ru,https://ria.ru/20200803/1575321911.html,1575321911,"""Газпром"" обжалует максимальный штраф Польши из-за ""Северного потока — 2""","МОСКВА, 3 авг — РИА Новости. Информация, которую польский регулятор UOKiK запрашивал у ""Газпрома"", не имела никакого отношения к антимонопольному расследованию по ""Северному потоку — 2"", сообщили журналистам в компании. ""Ранее ПАО ""Газпром"" в своем ответе попросило UOKiK представить обоснование правомерности запроса соответствующей информации, но такого обоснования не получило"", — уточнили в ""Газпроме"", добавив, что уведомление о штрафе от UOKiK они получили и планируют обжаловать это решение в суде после изучения. Сегодня стало известно, что UOKiK оштрафовал ""Газпром"" на 213 миллионов злотых (примерно 50 миллионов евро, максимальная санкция) из-за несотрудничества в деле по ""Северному потоку — 2"". Как объяснил регулятор, речь идет о расследовании финансирования строительства газопровода без согласия директора UOKiK. В 2018 году он предъявил обвинения по этому поводу шести компаниям: ""Газпрому"", Engie Energy из Швейцарии и нидерландским Uniper, OMV, Shell и Wintershall. В процессе разбирательства председатель обратился за документами, относящимися к делу, в том числе к ""Газпрому"", однако компания отказалась предоставить их, уточнили в управлении. При этом в прошлом году UOKiK обязал выплатить 172 миллиона евро Engie Energy, которая отказалась предоставить запрошенную информацию. Проект предполагает прокладку двух ниток газопровода общей мощностью 55 миллиардов кубометров газа в год от побережья России через Балтийское море до Германии. Он также пройдет через территориальные или исключительные экономические зоны Финляндии, Швеции и Дании. ""Северный поток — 2"" реализует Nord Stream 2 AG с единственным акционером — ""Газпромом"". Европейские партнеры — Royal Dutch Shell, OMV, Engie, Uniper и Wintershall — финансируют строительство наполовину, то есть на сумму до 950 миллионов евро каждый. Против проекта выступают Украина, которая опасается потерять доходы от транзита российского газа, США, активно продвигающие в ЕС свой сжиженный природный газ, а также Польша, Латвия и Литва, считающие его политическим. В конце прошлого года США приняли оборонный бюджет, в который включили санкции против компаний, участвующих в строительстве ""Северного потока — 2"". В результате швейцарская компания Allseas, занимавшаяся прокладкой труб, сразу же прекратила работы. В ""Газпроме"" заявляли, что смогут самостоятельно завершить строительство. Один из возможных вариантов предусматривает участие якорного трубоукладчика в сопровождении другого судна — с системой динамического позиционирования, способной удерживать судно в нужной точке без якорей и швартовки. Эту роль могут выполнить ""Фортуна"", принадлежащая компании МРТС, и ""Академик Черский"". Ранее сообщалось, что прокладка трубопровода может возобновиться с 3 августа — после того как истечет срок обжалования нового разрешения, выданного на строительство Данией.",https://cdn23.img.ria.ru/images/07e4/07/10/1574466479_0:0:3072:2047_1440x900_80_0_1_0a576bac0bff00cfacd2d4abb2919c1e.jpg?source-sid=,18:32 03.08.2020,
ria.ru,https://ria.ru/20200803/1575319158.html,1575319158,МИД заявил послу Белоруссии о безосновательном задержании 33 россиян,"МОСКВА, 3 авг — РИА Новости. Посол Белоруссии Владимир Семашко посетил МИД для беседы с замминистра Андреем Руденко, сообщили в российском дипведомстве. ""Особое внимание было уделено ситуации с недавним задержанием в Белоруссии 33 граждан России"", — говорится в комментарии. На Смоленской площади подчеркнули, что этот арест совершили под безосновательным и надуманным предлогом и что действия Минска ""не соответствуют духу братских союзнических отношений"". Москва настаивает на объективном расследовании инцидента и скорейшем освобождении соотечественников. На прошлой неделе стало известно о задержании 33 россиян под Минском и на юге страны. Белорусские власти назвали их ""боевиками иностранной частной военной компании ""Вагнер"". Против россиян возбудили уголовное дело по статье о подготовке терактов, им грозит до 20 лет лишения свободы. Также задержанных подозревают в подготовке массовых беспорядков в республике. Президент Александр Лукашенко считает, что россияне не планировали лететь в Стамбул, как утверждает Москва, а находились в республике с ""иными целями"". По версии Минска, 33 задержанных — лишь часть группы из 180 или двухсот человек, которых якобы планировали ""перебросить"" в Белоруссию. Пресс-секретарь российского президента Дмитрий Песков отмечал, что Москва не имеет информации о каких-либо противоправных деяниях задержанных. В Кремле ранее рассказали, что фигуранты дела, вероятнее всего, — сотрудники частного охранного предприятия, которые находились в республике транзитом и опоздали на рейс. Никаких противозаконных действий они не совершали. Консул российского посольства в Белоруссии Кирилл Плетнев после встречи с соотечественниками сообщил, что они собирались вылететь 25 июля в Стамбул, а оттуда — в одно из государств в Латинской Америке.",https://cdn23.img.ria.ru/images/07e4/07/1e/1575149573_0:0:1100:611_1440x900_80_0_1_425b3de75e708e378288722851f27b08.jpg?source-sid=,17:41 03.08.2020,
ria.ru,https://ria.ru/20200803/1575327074.html,1575327074,Бывший король Испании решил покинуть страну ,"МОСКВА, 3 авг — РИА Новости. Бывший глава Испании король Хуан Карлос, оказавшийся в центре коррупционного скандала, планирует уехать из страны, сообщили в королевском дворце. О решении отправиться за рубеж Хуан Карлос рассказал своему сыну, правящему монарху Фелипе VI. О том, где именно намерен поселиться король, не сообщается. По данным издания El Mundo, он уже покинул страну. Фелипе VI поблагодарил отца и отметил ""историческую важность, которую имело его правление"". Адвокат короля в комментарии La Vanguardia отметил, что Хуан Карлос в любом случае остается в распоряжении прокуратуры ""для любой процедуры или действий, которые она сочтет целесообразными"". Премьер-министр страны Педро Санчес заявил, что уважает решение короля покинуть Испанию. В 2014 году Хуан Карлос отказался от престола в пользу своего сына, но сохранил титул короля. В начале июня прокуратура Верховного суда Испании открыла расследование в отношении бывшего правителя из-за заключения контрактов на строительство высокоскоростной железной дороги в Саудовской Аравии между Меккой и Мединой. Следствие полагает, что Хуан Карлос мог получать взятки со стороны окружения саудовского короля. В результате скандала Фелипе VI принял решение лишить отца средств из бюджета королевского дома, а также отказался от наследства.",https://cdn21.img.ria.ru/images/101031/63/1010316317_0:0:1476:2048_1440x900_80_1_1_a58653c52514a606c12a2a0f754134b2.jpg?source-sid=rian_photo,20:29 03.08.2020,
site,url,code,title,text,images,date,author
ria.ru,https://ria.ru/20200803/1575321911.html,1575321911,"""Газпром"" обжалует максимальный штраф Польши из-за ""Северного потока — 2""","МОСКВА, 3 авг — РИА Новости. Информация, которую польский регулятор UOKiK запрашивал у ""Газпрома"", не имела никакого отношения к антимонопольному расследованию по ""Северному потоку — 2"", сообщили журналистам в компании. ""Ранее ПАО ""Газпром"" в своем ответе попросило UOKiK представить обоснование правомерности запроса соответствующей информации, но такого обоснования не получило"", — уточнили в ""Газпроме"", добавив, что уведомление о штрафе от UOKiK они получили и планируют обжаловать это решение в суде после изучения. Сегодня стало известно, что UOKiK оштрафовал ""Газпром"" на 213 миллионов злотых (примерно 50 миллионов евро, максимальная санкция) из-за несотрудничества в деле по ""Северному потоку — 2"". Как объяснил регулятор, речь идет о расследовании финансирования строительства газопровода без согласия директора UOKiK. В 2018 году он предъявил обвинения по этому поводу шести компаниям: ""Газпрому"", Engie Energy из Швейцарии и нидерландским Uniper, OMV, Shell и Wintershall. В процессе разбирательства председатель обратился за документами, относящимися к делу, в том числе к ""Газпрому"", однако компания отказалась предоставить их, уточнили в управлении. При этом в прошлом году UOKiK обязал выплатить 172 миллиона евро Engie Energy, которая отказалась предоставить запрошенную информацию. Проект предполагает прокладку двух ниток газопровода общей мощностью 55 миллиардов кубометров газа в год от побережья России через Балтийское море до Германии. Он также пройдет через территориальные или исключительные экономические зоны Финляндии, Швеции и Дании. ""Северный поток — 2"" реализует Nord Stream 2 AG с единственным акционером — ""Газпромом"". Европейские партнеры — Royal Dutch Shell, OMV, Engie, Uniper и Wintershall — финансируют строительство наполовину, то есть на сумму до 950 миллионов евро каждый. Против проекта выступают Украина, которая опасается потерять доходы от транзита российского газа, США, активно продвигающие в ЕС свой сжиженный природный газ, а также Польша, Латвия и Литва, считающие его политическим. В конце прошлого года США приняли оборонный бюджет, в который включили санкции против компаний, участвующих в строительстве ""Северного потока — 2"". В результате швейцарская компания Allseas, занимавшаяся прокладкой труб, сразу же прекратила работы. В ""Газпроме"" заявляли, что смогут самостоятельно завершить строительство. Один из возможных вариантов предусматривает участие якорного трубоукладчика в сопровождении другого судна — с системой динамического позиционирования, способной удерживать судно в нужной точке без якорей и швартовки. Эту роль могут выполнить ""Фортуна"", принадлежащая компании МРТС, и ""Академик Черский"". Ранее сообщалось, что прокладка трубопровода может возобновиться с 3 августа — после того как истечет срок обжалования нового разрешения, выданного на строительство Данией.",https://cdn23.img.ria.ru/images/07e4/07/10/1574466479_0:0:3072:2047_1440x900_80_0_1_0a576bac0bff00cfacd2d4abb2919c1e.jpg?source-sid=,18:32 03.08.2020,
ria.ru,https://ria.ru/20200803/1575319158.html,1575319158,МИД заявил послу Белоруссии о безосновательном задержании 33 россиян,"МОСКВА, 3 авг — РИА Новости. Посол Белоруссии Владимир Семашко посетил МИД для беседы с замминистра Андреем Руденко, сообщили в российском дипведомстве. ""Особое внимание было уделено ситуации с недавним задержанием в Белоруссии 33 граждан России"", — говорится в комментарии. На Смоленской площади подчеркнули, что этот арест совершили под безосновательным и надуманным предлогом и что действия Минска ""не соответствуют духу братских союзнических отношений"". Москва настаивает на объективном расследовании инцидента и скорейшем освобождении соотечественников. На прошлой неделе стало известно о задержании 33 россиян под Минском и на юге страны. Белорусские власти назвали их ""боевиками иностранной частной военной компании ""Вагнер"". Против россиян возбудили уголовное дело по статье о подготовке терактов, им грозит до 20 лет лишения свободы. Также задержанных подозревают в подготовке массовых беспорядков в республике. Президент Александр Лукашенко считает, что россияне не планировали лететь в Стамбул, как утверждает Москва, а находились в республике с ""иными целями"". По версии Минска, 33 задержанных — лишь часть группы из 180 или двухсот человек, которых якобы планировали ""перебросить"" в Белоруссию. Пресс-секретарь российского президента Дмитрий Песков отмечал, что Москва не имеет информации о каких-либо противоправных деяниях задержанных. В Кремле ранее рассказали, что фигуранты дела, вероятнее всего, — сотрудники частного охранного предприятия, которые находились в республике транзитом и опоздали на рейс. Никаких противозаконных действий они не совершали. Консул российского посольства в Белоруссии Кирилл Плетнев после встречи с соотечественниками сообщил, что они собирались вылететь 25 июля в Стамбул, а оттуда — в одно из государств в Латинской Америке.",https://cdn23.img.ria.ru/images/07e4/07/1e/1575149573_0:0:1100:611_1440x900_80_0_1_425b3de75e708e378288722851f27b08.jpg?source-sid=,17:41 03.08.2020,
ria.ru,https://ria.ru/20200803/1575327074.html,1575327074,Бывший король Испании решил покинуть страну ,"МОСКВА, 3 авг — РИА Новости. Бывший глава Испании король Хуан Карлос, оказавшийся в центре коррупционного скандала, планирует уехать из страны, сообщили в королевском дворце. О решении отправиться за рубеж Хуан Карлос рассказал своему сыну, правящему монарху Фелипе VI. О том, где именно намерен поселиться король, не сообщается. По данным издания El Mundo, он уже покинул страну. Фелипе VI поблагодарил отца и отметил ""историческую важность, которую имело его правление"". Адвокат короля в комментарии La Vanguardia отметил, что Хуан Карлос в любом случае остается в распоряжении прокуратуры ""для любой процедуры или действий, которые она сочтет целесообразными"". Премьер-министр страны Педро Санчес заявил, что уважает решение короля покинуть Испанию. В 2014 году Хуан Карлос отказался от престола в пользу своего сына, но сохранил титул короля. В начале июня прокуратура Верховного суда Испании открыла расследование в отношении бывшего правителя из-за заключения контрактов на строительство высокоскоростной железной дороги в Саудовской Аравии между Меккой и Мединой. Следствие полагает, что Хуан Карлос мог получать взятки со стороны окружения саудовского короля. В результате скандала Фелипе VI принял решение лишить отца средств из бюджета королевского дома, а также отказался от наследства.",https://cdn21.img.ria.ru/images/101031/63/1010316317_0:0:1476:2048_1440x900_80_1_1_a58653c52514a606c12a2a0f754134b2.jpg?source-sid=rian_photo,20:29 03.08.2020,
site,url,code,title,text,images,date,author
ria.ru,https://ria.ru/20200803/1575321911.html,1575321911,"""Газпром"" обжалует максимальный штраф Польши из-за ""Северного потока — 2""","МОСКВА, 3 авг — РИА Новости. Информация, которую польский регулятор UOKiK запрашивал у ""Газпрома"", не имела никакого отношения к антимонопольному расследованию по ""Северному потоку — 2"", сообщили журналистам в компании. ""Ранее ПАО ""Газпром"" в своем ответе попросило UOKiK представить обоснование правомерности запроса соответствующей информации, но такого обоснования не получило"", — уточнили в ""Газпроме"", добавив, что уведомление о штрафе от UOKiK они получили и планируют обжаловать это решение в суде после изучения. Сегодня стало известно, что UOKiK оштрафовал ""Газпром"" на 213 миллионов злотых (примерно 50 миллионов евро, максимальная санкция) из-за несотрудничества в деле по ""Северному потоку — 2"". Как объяснил регулятор, речь идет о расследовании финансирования строительства газопровода без согласия директора UOKiK. В 2018 году он предъявил обвинения по этому поводу шести компаниям: ""Газпрому"", Engie Energy из Швейцарии и нидерландским Uniper, OMV, Shell и Wintershall. В процессе разбирательства председатель обратился за документами, относящимися к делу, в том числе к ""Газпрому"", однако компания отказалась предоставить их, уточнили в управлении. При этом в прошлом году UOKiK обязал выплатить 172 миллиона евро Engie Energy, которая отказалась предоставить запрошенную информацию. Проект предполагает прокладку двух ниток газопровода общей мощностью 55 миллиардов кубометров газа в год от побережья России через Балтийское море до Германии. Он также пройдет через территориальные или исключительные экономические зоны Финляндии, Швеции и Дании. ""Северный поток — 2"" реализует Nord Stream 2 AG с единственным акционером — ""Газпромом"". Европейские партнеры — Royal Dutch Shell, OMV, Engie, Uniper и Wintershall — финансируют строительство наполовину, то есть на сумму до 950 миллионов евро каждый. Против проекта выступают Украина, которая опасается потерять доходы от транзита российского газа, США, активно продвигающие в ЕС свой сжиженный природный газ, а также Польша, Латвия и Литва, считающие его политическим. В конце прошлого года США приняли оборонный бюджет, в который включили санкции против компаний, участвующих в строительстве ""Северного потока — 2"". В результате швейцарская компания Allseas, занимавшаяся прокладкой труб, сразу же прекратила работы. В ""Газпроме"" заявляли, что смогут самостоятельно завершить строительство. Один из возможных вариантов предусматривает участие якорного трубоукладчика в сопровождении другого судна — с системой динамического позиционирования, способной удерживать судно в нужной точке без якорей и швартовки. Эту роль могут выполнить ""Фортуна"", принадлежащая компании МРТС, и ""Академик Черский"". Ранее сообщалось, что прокладка трубопровода может возобновиться с 3 августа — после того как истечет срок обжалования нового разрешения, выданного на строительство Данией.",https://cdn23.img.ria.ru/images/07e4/07/10/1574466479_0:0:3072:2047_1440x900_80_0_1_0a576bac0bff00cfacd2d4abb2919c1e.jpg?source-sid=,18:32 03.08.2020,
